Time,I(R1)
0.00E+00,0.00E+00
1.09E-10,6.76E-05
1.19E-10,6.69E-05
1.38E-10,6.57E-05
1.77E-10,6.32E-05
2.55E-10,5.85E-05
4.10E-10,5.02E-05
7.21E-10,3.67E-05
1.09E-09,2.53E-05
1.84E-09,1.16E-05
2.75E-09,4.45E-06
4.25E-09,6.78E-07
5.83E-09,1.78E-07
8.41E-09,4.54E-07
1.09E-08,1.36E-06
1.12E-08,1.61E-06
1.18E-08,2.56E-06
1.31E-08,5.68E-06
1.55E-08,1.51E-05
1.89E-08,4.00E-05
2.33E-08,1.41E-04
2.39E-08,1.78E-04
2.49E-08,2.65E-04
2.52E-08,2.92E-04
2.57E-08,3.56E-04
2.68E-08,5.27E-04
2.85E-08,1.02E-03
2.98E-08,1.69E-03
3.14E-08,3.40E-03
3.47E-08,1.44E-02
3.76E-08,5.53E-02
4.15E-08,1.64E-01
4.55E-08,8.77E-02
4.95E-08,4.38E-04
5.52E-08,1.54E-03
6.23E-08,-2.07E-04
6.89E-08,7.51E-04
7.04E-08,1.10E-03
7.34E-08,1.71E-03
7.96E-08,2.84E-03
8.59E-08,4.38E-03
8.69E-08,4.66E-03
8.90E-08,5.26E-03
9.31E-08,6.59E-03
1.01E-07,9.94E-03
1.07E-07,1.28E-02
1.14E-07,1.57E-02
1.21E-07,1.91E-02
1.25E-07,2.11E-02
1.28E-07,2.30E-02
1.29E-07,2.43E-02
1.31E-07,2.54E-02
1.32E-07,2.60E-02
1.33E-07,2.71E-02
1.36E-07,2.90E-02
1.40E-07,3.20E-02
1.45E-07,3.68E-02
1.56E-07,4.75E-02
1.74E-07,6.82E-02
1.98E-07,1.04E-01
2.00E-07,1.08E-01
2.05E-07,1.17E-01
2.14E-07,1.35E-01
2.33E-07,1.75E-01
2.64E-07,2.59E-01
2.97E-07,3.70E-01
3.33E-07,5.15E-01
3.92E-07,8.08E-01
4.50E-07,1.16E+00
5.65E-07,1.96E+00
6.75E-07,2.75E+00
8.69E-07,3.78E+00
1.07E-06,4.16E+00
1.11E-06,4.15E+00
1.20E-06,4.14E+00
1.37E-06,4.22E+00
1.67E-06,5.07E+00
1.91E-06,6.35E+00
2.18E-06,7.64E+00
2.48E-06,8.69E+00
2.81E-06,9.66E+00
3.11E-06,1.09E+01
3.26E-06,1.16E+01
3.43E-06,1.24E+01
3.68E-06,1.33E+01
3.88E-06,1.37E+01
4.15E-06,1.40E+01
4.42E-06,1.44E+01
4.73E-06,1.47E+01
5.08E-06,1.45E+01
5.45E-06,1.38E+01
5.89E-06,1.24E+01
5.95E-06,1.21E+01
5.96E-06,1.21E+01
5.99E-06,1.20E+01
6.05E-06,1.18E+01
6.17E-06,1.16E+01
6.41E-06,1.11E+01
6.71E-06,1.02E+01
7.07E-06,8.81E+00
7.50E-06,7.18E+00
7.94E-06,5.81E+00
8.47E-06,4.29E+00
8.96E-06,2.60E+00
9.48E-06,9.37E-01
9.94E-06,-3.75E-01
1.04E-05,-1.74E+00
1.09E-05,-3.13E+00
1.13E-05,-3.87E+00
1.17E-05,-4.46E+00
1.20E-05,-4.72E+00
1.22E-05,-4.84E+00
1.26E-05,-4.91E+00
1.30E-05,-4.80E+00
1.36E-05,-4.33E+00
1.42E-05,-3.61E+00
1.48E-05,-2.61E+00
1.54E-05,-1.53E+00
1.61E-05,-1.60E-01
1.67E-05,8.66E-01
1.73E-05,1.79E+00
1.77E-05,2.22E+00
1.85E-05,2.74E+00
1.93E-05,2.84E+00
1.99E-05,2.63E+00
2.06E-05,2.15E+00
2.14E-05,1.40E+00
2.21E-05,5.77E-01
2.30E-05,-3.44E-01
2.38E-05,-1.05E+00
2.46E-05,-1.48E+00
