  Time                 , -I(Rl)               
  0.000000000000e+000  ,1.499767521023e-001  
  1.090000000000e-010  ,1.499767521023e-001  
  2.180000000000e-010  ,1.499767521023e-001  
  4.359993316531e-010  ,1.499767521023e-001  
  8.719979949594e-010  ,1.499767521023e-001  
  1.743995321572e-009  ,1.499767521023e-001  
  3.487989974797e-009  ,1.499767521024e-001  
  6.975979281247e-009  ,1.499767521026e-001  
  1.090001000000e-008  ,1.499767521032e-001  
  1.122443621887e-008  ,1.499768411775e-001  
  1.187328865660e-008  ,1.499774980355e-001  
  1.298398395909e-008  ,1.499793572271e-001  
  1.404457410706e-008  ,1.499818272094e-001  
  1.616575440300e-008  ,1.499883846580e-001  
  1.846276840104e-008  ,1.500010197258e-001  
  2.226703485383e-008  ,1.500557220283e-001  
  2.274834236039e-008  ,1.500750898615e-001  
  2.371095737351e-008  ,1.501205423372e-001  
  2.563618739975e-008  ,1.502648912237e-001  
  2.786689123047e-008  ,1.506889893068e-001  
  2.962113043202e-008  ,1.514351426988e-001  
  3.178775926960e-008  ,1.537163693462e-001  
  3.529586514367e-008  ,1.686017544400e-001  
  3.858678659333e-008  ,2.282251519864e-001  
  4.266150912179e-008  ,3.231826556168e-001  
  4.720487316979e-008  ,1.750940794383e-001  
  5.085975548161e-008  ,1.335962651102e-001  
  5.419761558903e-008  ,1.387867571736e-001  
  6.087333580388e-008  ,1.549475399193e-001  
  6.762579699887e-008  ,1.519598436226e-001  
  8.007124682797e-008  ,1.518320918968e-001  
  8.590001000000e-008  ,1.531808086951e-001  
  8.702862394882e-008  ,1.534303827402e-001  
  8.928577734066e-008  ,1.539744460194e-001  
  9.380008412434e-008  ,1.552149164031e-001  
  1.015442175968e-007  ,1.575632170288e-001  
  1.083525581462e-007  ,1.595902190438e-001  
  1.152763826950e-007  ,1.610233286559e-001  
  1.230607493026e-007  ,1.620445658195e-001  
  1.261829151018e-007  ,1.627504473115e-001  
  1.290260566576e-007  ,1.635680382369e-001  
  1.303926794036e-007  ,1.639358232219e-001  
  1.310442326768e-007  ,1.640993244960e-001  
  1.320334835155e-007  ,1.643407558486e-001  
  1.330555169089e-007  ,1.645891702131e-001  
  1.337633220656e-007  ,1.647635233284e-001  
  1.346668912275e-007  ,1.649872701519e-001  
  1.364740295513e-007  ,1.654362187258e-001  
  1.400883061988e-007  ,1.663346242603e-001  
  1.473168594940e-007  ,1.681325637201e-001  
  1.617739660843e-007  ,1.717310950578e-001  
  1.906881792648e-007  ,1.789370145806e-001  
  2.000000100000e-007  ,1.812598449136e-001  
  2.057828526361e-007  ,1.827030520948e-001  
  2.173491339548e-007  ,1.855908857836e-001  
  2.404816965921e-007  ,1.913686533706e-001  
  2.867468218668e-007  ,2.029302936431e-001  
  3.792770724161e-007  ,2.259918968783e-001  
  5.295523028238e-007  ,2.628578009139e-001  
  8.301027636392e-007  ,3.331639896599e-001  
  1.271987758146e-006  ,4.242472281001e-001  
  1.806331477628e-006  ,5.116417270753e-001  
  2.404952846037e-006  ,5.842483051019e-001  
  2.812362514005e-006  ,6.265342625948e-001  
  3.299976191984e-006  ,6.776717080953e-001  
  3.746724925504e-006  ,7.368941501094e-001  
  4.280591807829e-006  ,8.284193442251e-001  
  4.848218760954e-006  ,9.518523317838e-001  
  5.523324809538e-006  ,1.121917438982e+000  
  6.205869517790e-006  ,1.291745255554e+000  
  7.028604350553e-006  ,1.454544189982e+000  
  7.937455974088e-006  ,1.573752250606e+000  
  8.713651500211e-006  ,1.537554180642e+000  
  8.804334006773e-006  ,1.524409078906e+000  
  8.939779601560e-006  ,1.503079488099e+000  
  9.064567885862e-006  ,1.484000045058e+000  
  9.203184447752e-006  ,1.463107623746e+000  
  9.363377891050e-006  ,1.436988282300e+000  
  9.581983886228e-006  ,1.399717448513e+000  
  9.801543555723e-006  ,1.362021213677e+000  
  1.024056752728e-005  ,1.301522759448e+000  
  1.068898519085e-005  ,1.267981686936e+000  
  1.079008658932e-005  ,1.263919885799e+000  
  1.099228938626e-005  ,1.256899402452e+000  
  1.139669498013e-005  ,1.244597356190e+000  
  1.220550616788e-005  ,1.209637905545e+000  
  1.307153781460e-005  ,1.067515048488e+000  
  1.360006412076e-005  ,9.302976390235e-001  
  1.409378131436e-005  ,7.756769539783e-001  
  1.468095859097e-005  ,5.917595454140e-001  
  1.532621463345e-005  ,4.180060160136e-001  
  1.580185969876e-005  ,3.312380302695e-001  
  1.627030452298e-005  ,2.800066905244e-001  
  1.638741572903e-005  ,2.722204418629e-001  
  1.662163814114e-005  ,2.600363319285e-001  
  1.709008296536e-005  ,2.411567019709e-001  
  1.768651088284e-005  ,2.065149804926e-001  
  1.829505046414e-005  ,1.299227807681e-001  
  1.874976237820e-005  ,3.475624958084e-002  
  1.921014865445e-005  ,-8.928398963599e-002  
  1.981020053433e-005  ,-2.468223841434e-001  
  2.040605624722e-005  ,-2.925174089825e-001  
  2.048113425778e-005  ,-2.891806440622e-001  
  2.063129027890e-005  ,-3.017085379378e-001  
  2.071236451672e-005  ,-3.122174318950e-001  
  2.072445978926e-005  ,-3.139085193514e-001  
  2.074865033434e-005  ,-3.167199142255e-001  
  2.079074909495e-005  ,-3.193661277181e-001  
  2.082911660479e-005  ,-3.196828552742e-001  
  2.086427142428e-005  ,-3.187932089191e-001  
  2.091140677737e-005  ,-3.181498055254e-001  
  2.096174886035e-005  ,-3.204224376696e-001  
  2.102380921649e-005  ,-3.274752640301e-001  
  2.108145286845e-005  ,-3.340005339790e-001  
  2.114779283808e-005  ,-3.381652169315e-001  
  2.119618584918e-005  ,-3.387943176904e-001  
  2.123454143809e-005  ,-3.385019452127e-001  
  2.127740313815e-005  ,-3.382696225021e-001  
  2.134545972155e-005  ,-3.410121346618e-001  
  2.141296794222e-005  ,-3.469464068913e-001  
