  Time                 , -I(R1)               
  0.000000000000e+000  ,6.249028099828e-002  
  1.090000000000e-010  ,6.249028099828e-002  
  2.180000000000e-010  ,6.249028099828e-002  
  4.359993316531e-010  ,6.249028099828e-002  
  8.719979949594e-010  ,6.249028099828e-002  
  1.743995321572e-009  ,6.249028099828e-002  
  3.487989974797e-009  ,6.249028099828e-002  
  6.975979281247e-009  ,6.249028099829e-002  
  1.090001000000e-008  ,6.249028099830e-002  
  1.125135144127e-008  ,6.249028447665e-002  
  1.195403432382e-008  ,6.249030346276e-002  
  1.313606893552e-008  ,6.249032624346e-002  
  1.426222419275e-008  ,6.249036053607e-002  
  1.651453470720e-008  ,6.249048206089e-002  
  1.892889534963e-008  ,6.249080937981e-002  
  2.286950742734e-008  ,6.249268318782e-002  
  2.679298316968e-008  ,6.250140719961e-002  
  2.737347653044e-008  ,6.250610896670e-002  
  2.853446325196e-008  ,6.251208898151e-002  
  2.947863807810e-008  ,6.252238720141e-002  
  3.074654063118e-008  ,6.254233485552e-002  
  3.328234573735e-008  ,6.262997193305e-002  
  3.647193929089e-008  ,6.306241990548e-002  
  4.001506289376e-008  ,6.460340364931e-002  
  4.442282637490e-008  ,6.651410489076e-002  
  4.896768053902e-008  ,6.777451345585e-002  
  5.308040102852e-008  ,7.053194499197e-002  
  6.037004908455e-008  ,7.556359310744e-002  
  6.999619921578e-008  ,8.154123640854e-002  
  8.380063494576e-008  ,8.968643294933e-002  
  8.590001000000e-008  ,9.082651492116e-002  
  8.715304864479e-008  ,9.149026363217e-002  
  8.965905142857e-008  ,9.279747495552e-002  
  9.467105699612e-008  ,9.528659829327e-002  
  1.046950681312e-007  ,9.973604806333e-002  
  1.126776201828e-007  ,1.027398770095e-001  
  1.214067204101e-007  ,1.054390334987e-001  
  1.256528062923e-007  ,1.065224642806e-001  
  1.297938389881e-007  ,1.074315049029e-001  
  1.314722685320e-007  ,1.077557290002e-001  
  1.321759758694e-007  ,1.078843664447e-001  
  1.332697211011e-007  ,1.080759136262e-001  
  1.342595307334e-007  ,1.082403374568e-001  
  1.353091312749e-007  ,1.084053739773e-001  
  1.368160112007e-007  ,1.086255325664e-001  
  1.388023359878e-007  ,1.088857183066e-001  
  1.410661949022e-007  ,1.091408488030e-001  
  1.436698002918e-007  ,1.093803469422e-001  
  1.475038690670e-007  ,1.096296250419e-001  
  1.531968577011e-007  ,1.097790442874e-001  
  1.645828349693e-007  ,1.093332501265e-001  
  1.873547895057e-007  ,1.060294002398e-001  
  2.000000100000e-007  ,1.031236915879e-001  
  2.045544009073e-007  ,1.019464482424e-001  
  2.088712673051e-007  ,1.008151211322e-001  
  2.175050001009e-007  ,9.852495286010e-002  
  2.347724656923e-007  ,9.416789683235e-002  
  2.693073968752e-007  ,8.922523037644e-002  
  3.110068063600e-007  ,9.328179333927e-002  
  3.544347505434e-007  ,1.099352465286e-001  
  3.943519811494e-007  ,1.325957999327e-001  
  4.360811929567e-007  ,1.583000194790e-001  
  4.872458200319e-007  ,1.785921633328e-001  
  5.363302450044e-007  ,1.839231475412e-001  
  5.849259118898e-007  ,1.778333438721e-001  
  6.355779390199e-007  ,1.692694158335e-001  
  6.821768503053e-007  ,1.705846938233e-001  
  7.186489324434e-007  ,1.813184301010e-001  
  7.574157934053e-007  ,2.006505298506e-001  
  8.092658738954e-007  ,2.285854497816e-001  
  8.655743818147e-007  ,2.517748456540e-001  
  9.052710752351e-007  ,2.570863489264e-001  
  9.487526635988e-007  ,2.536926098536e-001  
  9.894209127290e-007  ,2.478491959673e-001  
  1.032526991831e-006  ,2.441364360022e-001  
  1.075817845331e-006  ,2.503886052646e-001  
  1.117970250116e-006  ,2.662574072239e-001  
