Time [s],Ch1 Current [A]
0.000000E+0,1.148071E-10
1.000000E-10,1.457511E-9
2.000000E-10,9.217747E-9
3.000000E-10,3.919879E-8
4.000000E-10,1.276778E-7
5.000000E-10,3.435294E-7
6.000000E-10,8.017815E-7
7.000000E-10,1.677321E-6
8.000000E-10,3.216208E-6
9.000000E-10,5.742961E-6
1.000000E-9,9.665509E-6
1.100000E-9,1.548093E-5
1.200000E-9,2.378270E-5
1.300000E-9,3.526802E-5
1.400000E-9,5.074500E-5
1.500000E-9,7.114132E-5
1.600000E-9,9.751475E-5
1.700000E-9,1.310640E-4
1.800000E-9,1.731388E-4
1.900000E-9,2.252480E-4
2.000000E-9,2.890660E-4
2.100000E-9,3.664382E-4
2.200000E-9,4.593845E-4
2.300000E-9,5.701053E-4
2.400000E-9,7.009894E-4
2.500000E-9,8.546282E-4
2.600000E-9,1.033833E-3
2.700000E-9,1.241660E-3
2.800000E-9,1.481430E-3
2.900000E-9,1.756764E-3
3.000000E-9,2.071603E-3
3.100000E-9,2.430244E-3
3.200000E-9,2.837364E-3
3.300000E-9,3.298059E-3
3.400000E-9,3.817875E-3
3.500000E-9,4.402846E-3
3.600000E-9,5.059531E-3
3.700000E-9,5.795061E-3
3.800000E-9,6.617180E-3
3.900000E-9,7.534289E-3
4.000000E-9,8.555498E-3
4.100000E-9,9.690663E-3
4.200000E-9,1.095042E-2
4.300000E-9,1.234622E-2
4.400000E-9,1.389034E-2
4.500000E-9,1.559592E-2
4.600000E-9,1.747696E-2
4.700000E-9,1.954835E-2
4.800000E-9,2.182583E-2
4.900000E-9,2.432602E-2
5.000000E-9,2.706637E-2
5.100000E-9,3.006517E-2
5.200000E-9,3.334154E-2
5.300000E-9,3.691536E-2
5.400000E-9,4.080732E-2
5.500000E-9,4.503880E-2
5.600000E-9,4.963190E-2
5.700000E-9,5.460940E-2
5.800000E-9,5.999468E-2
5.900000E-9,6.581173E-2
6.000000E-9,7.208508E-2
6.100000E-9,7.883977E-2
6.200000E-9,8.610130E-2
6.300000E-9,9.389562E-2
6.400000E-9,1.022491E-1
6.500000E-9,1.111883E-1
6.600000E-9,1.207405E-1
6.700000E-9,1.309328E-1
6.800000E-9,1.417929E-1
6.900000E-9,1.533487E-1
7.000000E-9,1.656283E-1
7.100000E-9,1.786599E-1
7.200000E-9,1.924721E-1
7.300000E-9,2.070936E-1
7.400000E-9,2.225531E-1
7.500000E-9,2.388796E-1
7.600000E-9,2.561020E-1
7.700000E-9,2.742493E-1
7.800000E-9,2.933504E-1
7.900000E-9,3.134343E-1
8.000000E-9,3.345299E-1
8.100000E-9,3.566659E-1
8.200000E-9,3.798711E-1
8.300000E-9,4.041737E-1
8.400000E-9,4.296021E-1
8.500000E-9,4.561842E-1
8.600000E-9,4.839476E-1
8.700000E-9,5.129198E-1
8.800000E-9,5.431277E-1
8.900000E-9,5.745978E-1
9.000000E-9,6.073564E-1
9.100000E-9,6.414293E-1
9.200000E-9,6.768417E-1
9.300000E-9,7.136185E-1
9.400000E-9,7.517840E-1
9.500000E-9,7.913620E-1
9.600000E-9,8.323758E-1
9.700000E-9,8.748483E-1
9.800000E-9,9.188016E-1
9.900000E-9,9.642574E-1
1.000000E-8,1.011237E+0
1.010000E-8,1.059761E+0
1.020000E-8,1.109848E+0
1.030000E-8,1.161519E+0
1.040000E-8,1.214792E+0
1.050000E-8,1.269685E+0
1.060000E-8,1.326214E+0
1.070000E-8,1.384397E+0
1.080000E-8,1.444249E+0
1.090000E-8,1.505784E+0
1.100000E-8,1.569016E+0
1.110000E-8,1.633959E+0
1.120000E-8,1.700623E+0
1.130000E-8,1.769021E+0
1.140000E-8,1.839161E+0
1.150000E-8,1.911052E+0
1.160000E-8,1.984701E+0
1.170000E-8,2.060115E+0
1.180000E-8,2.137297E+0
1.190000E-8,2.216252E+0
1.200000E-8,2.296980E+0
1.210000E-8,2.379483E+0
1.220000E-8,2.463759E+0
1.230000E-8,2.549807E+0
1.240000E-8,2.637621E+0
1.250000E-8,2.727197E+0
1.260000E-8,2.818527E+0
1.270000E-8,2.911603E+0
1.280000E-8,3.006415E+0
1.290000E-8,3.102950E+0
1.300000E-8,3.201196E+0
1.310000E-8,3.301137E+0
1.320000E-8,3.402756E+0
1.330000E-8,3.506035E+0
1.340000E-8,3.610954E+0
1.350000E-8,3.717491E+0
1.360000E-8,3.825622E+0
1.370000E-8,3.935322E+0
1.380000E-8,4.046565E+0
1.390000E-8,4.159322E+0
1.400000E-8,4.273563E+0
1.410000E-8,4.389257E+0
1.420000E-8,4.506369E+0
1.430000E-8,4.624865E+0
1.440000E-8,4.744709E+0
1.450000E-8,4.865862E+0
1.460000E-8,4.988285E+0
1.470000E-8,5.111938E+0
1.480000E-8,5.236777E+0
1.490000E-8,5.362759E+0
1.500000E-8,5.489839E+0
1.510000E-8,5.617971E+0
1.520000E-8,5.747106E+0
1.530000E-8,5.877195E+0
1.540000E-8,6.008190E+0
1.550000E-8,6.140038E+0
1.560000E-8,6.272689E+0
1.570000E-8,6.406087E+0
1.580000E-8,6.540181E+0
1.590000E-8,6.674915E+0
1.600000E-8,6.810234E+0
1.610000E-8,6.946082E+0
1.620000E-8,7.082402E+0
1.630000E-8,7.219136E+0
1.640000E-8,7.356226E+0
1.650000E-8,7.493615E+0
1.660000E-8,7.631243E+0
1.670000E-8,7.769051E+0
1.680000E-8,7.906980E+0
1.690000E-8,8.044968E+0
1.700000E-8,8.182957E+0
1.710000E-8,8.320885E+0
1.720000E-8,8.458693E+0
1.730000E-8,8.596319E+0
1.740000E-8,8.733704E+0
1.750000E-8,8.870785E+0
1.760000E-8,9.007503E+0
1.770000E-8,9.143797E+0
1.780000E-8,9.279608E+0
1.790000E-8,9.414874E+0
1.800000E-8,9.549537E+0
1.810000E-8,9.683537E+0
1.820000E-8,9.816815E+0
1.830000E-8,9.949313E+0
1.840000E-8,1.008097E+1
1.850000E-8,1.021174E+1
1.860000E-8,1.034155E+1
1.870000E-8,1.047036E+1
1.880000E-8,1.059810E+1
1.890000E-8,1.072472E+1
1.900000E-8,1.085018E+1
1.910000E-8,1.097440E+1
1.920000E-8,1.109735E+1
1.930000E-8,1.121897E+1
1.940000E-8,1.133921E+1
1.950000E-8,1.145802E+1
1.960000E-8,1.157535E+1
1.970000E-8,1.169116E+1
1.980000E-8,1.180539E+1
1.990000E-8,1.191799E+1
2.000000E-8,1.202893E+1
2.010000E-8,1.213816E+1
2.020000E-8,1.224563E+1
2.030000E-8,1.235131E+1
2.040000E-8,1.245515E+1
2.050000E-8,1.255711E+1
2.060000E-8,1.265715E+1
2.070000E-8,1.275524E+1
2.080000E-8,1.285133E+1
2.090000E-8,1.294540E+1
2.100000E-8,1.303741E+1
2.110000E-8,1.312733E+1
2.120000E-8,1.321512E+1
2.130000E-8,1.330075E+1
2.140000E-8,1.338420E+1
2.150000E-8,1.346544E+1
2.160000E-8,1.354444E+1
2.170000E-8,1.362118E+1
2.180000E-8,1.369564E+1
2.190000E-8,1.376778E+1
2.200000E-8,1.383760E+1
2.210000E-8,1.390507E+1
2.220000E-8,1.397017E+1
2.230000E-8,1.403289E+1
2.240000E-8,1.409321E+1
2.250000E-8,1.415111E+1
2.260000E-8,1.420660E+1
2.270000E-8,1.425965E+1
2.280000E-8,1.431025E+1
2.290000E-8,1.435840E+1
2.300000E-8,1.440409E+1
2.310000E-8,1.444732E+1
2.320000E-8,1.448808E+1
2.330000E-8,1.452636E+1
2.340000E-8,1.456217E+1
2.350000E-8,1.459551E+1
2.360000E-8,1.462637E+1
2.370000E-8,1.465476E+1
2.380000E-8,1.468069E+1
2.390000E-8,1.470416E+1
2.400000E-8,1.472517E+1
2.410000E-8,1.474374E+1
2.420000E-8,1.475987E+1
2.430000E-8,1.477358E+1
2.440000E-8,1.478488E+1
2.450000E-8,1.479378E+1
2.460000E-8,1.480029E+1
2.470000E-8,1.480445E+1
2.480000E-8,1.480625E+1
2.490000E-8,1.480573E+1
2.500000E-8,1.480290E+1
2.510000E-8,1.479779E+1
2.520000E-8,1.479042E+1
2.530000E-8,1.478082E+1
2.540000E-8,1.476901E+1
2.550000E-8,1.475502E+1
2.560000E-8,1.473888E+1
2.570000E-8,1.472063E+1
2.580000E-8,1.470029E+1
2.590000E-8,1.467791E+1
2.600000E-8,1.465350E+1
2.610000E-8,1.462712E+1
2.620000E-8,1.459880E+1
2.630000E-8,1.456858E+1
2.640000E-8,1.453649E+1
2.650000E-8,1.450259E+1
2.660000E-8,1.446690E+1
2.670000E-8,1.442948E+1
2.680000E-8,1.439038E+1
2.690000E-8,1.434963E+1
2.700000E-8,1.430728E+1
2.710000E-8,1.426338E+1
2.720000E-8,1.421799E+1
2.730000E-8,1.417114E+1
2.740000E-8,1.412289E+1
2.750000E-8,1.407330E+1
2.760000E-8,1.402240E+1
2.770000E-8,1.397027E+1
2.780000E-8,1.391694E+1
2.790000E-8,1.386248E+1
2.800000E-8,1.380693E+1
2.810000E-8,1.375036E+1
2.820000E-8,1.369282E+1
2.830000E-8,1.363437E+1
2.840000E-8,1.357505E+1
2.850000E-8,1.351494E+1
2.860000E-8,1.345408E+1
2.870000E-8,1.339254E+1
2.880000E-8,1.333036E+1
2.890000E-8,1.326762E+1
2.900000E-8,1.320436E+1
2.910000E-8,1.314065E+1
2.920000E-8,1.307654E+1
2.930000E-8,1.301210E+1
2.940000E-8,1.294737E+1
2.950000E-8,1.288242E+1
2.960000E-8,1.281730E+1
2.970000E-8,1.275207E+1
2.980000E-8,1.268679E+1
2.990000E-8,1.262151E+1
3.000000E-8,1.255629E+1
3.010000E-8,1.249119E+1
3.020000E-8,1.242625E+1
3.030000E-8,1.236154E+1
3.040000E-8,1.229710E+1
3.050000E-8,1.223299E+1
3.060000E-8,1.216926E+1
3.070000E-8,1.210596E+1
3.080000E-8,1.204314E+1
3.090000E-8,1.198084E+1
3.100000E-8,1.191912E+1
3.110000E-8,1.185803E+1
3.120000E-8,1.179760E+1
3.130000E-8,1.173788E+1
3.140000E-8,1.167892E+1
3.150000E-8,1.162076E+1
3.160000E-8,1.156343E+1
3.170000E-8,1.150698E+1
3.180000E-8,1.145146E+1
3.190000E-8,1.139688E+1
3.200000E-8,1.134330E+1
3.210000E-8,1.129074E+1
3.220000E-8,1.123925E+1
3.230000E-8,1.118884E+1
3.240000E-8,1.113957E+1
3.250000E-8,1.109144E+1
3.260000E-8,1.104451E+1
3.270000E-8,1.099878E+1
3.280000E-8,1.095430E+1
3.290000E-8,1.091108E+1
3.300000E-8,1.086915E+1
3.310000E-8,1.082854E+1
3.320000E-8,1.078927E+1
3.330000E-8,1.075135E+1
3.340000E-8,1.071482E+1
3.350000E-8,1.067968E+1
3.360000E-8,1.064596E+1
3.370000E-8,1.061368E+1
3.380000E-8,1.058284E+1
3.390000E-8,1.055347E+1
3.400000E-8,1.052558E+1
3.410000E-8,1.049919E+1
3.420000E-8,1.047429E+1
3.430000E-8,1.045091E+1
3.440000E-8,1.042906E+1
3.450000E-8,1.040874E+1
3.460000E-8,1.038995E+1
3.470000E-8,1.037272E+1
3.480000E-8,1.035704E+1
3.490000E-8,1.034291E+1
3.500000E-8,1.033035E+1
3.510000E-8,1.031935E+1
3.520000E-8,1.030992E+1
3.530000E-8,1.030205E+1
3.540000E-8,1.029575E+1
3.550000E-8,1.029102E+1
3.560000E-8,1.028785E+1
3.570000E-8,1.028624E+1
3.580000E-8,1.028619E+1
3.590000E-8,1.028769E+1
3.600000E-8,1.029074E+1
3.610000E-8,1.029534E+1
3.620000E-8,1.030147E+1
3.630000E-8,1.030913E+1
3.640000E-8,1.031831E+1
3.650000E-8,1.032900E+1
3.660000E-8,1.034119E+1
3.670000E-8,1.035488E+1
3.680000E-8,1.037005E+1
3.690000E-8,1.038669E+1
3.700000E-8,1.040478E+1
3.710000E-8,1.042432E+1
3.720000E-8,1.044529E+1
3.730000E-8,1.046768E+1
3.740000E-8,1.049147E+1
3.750000E-8,1.051665E+1
3.760000E-8,1.054319E+1
3.770000E-8,1.057110E+1
3.780000E-8,1.060033E+1
3.790000E-8,1.063089E+1
3.800000E-8,1.066275E+1
3.810000E-8,1.069589E+1
3.820000E-8,1.073029E+1
3.830000E-8,1.076593E+1
3.840000E-8,1.080279E+1
3.850000E-8,1.084085E+1
3.860000E-8,1.088009E+1
3.870000E-8,1.092048E+1
3.880000E-8,1.096199E+1
3.890000E-8,1.100461E+1
3.900000E-8,1.104831E+1
3.910000E-8,1.109306E+1
3.920000E-8,1.113883E+1
3.930000E-8,1.118561E+1
3.940000E-8,1.123335E+1
3.950000E-8,1.128204E+1
3.960000E-8,1.133164E+1
3.970000E-8,1.138213E+1
3.980000E-8,1.143347E+1
3.990000E-8,1.148564E+1
4.000000E-8,1.153859E+1
4.010000E-8,1.159231E+1
4.020000E-8,1.164676E+1
4.030000E-8,1.170191E+1
4.040000E-8,1.175773E+1
4.050000E-8,1.181418E+1
4.060000E-8,1.187124E+1
4.070000E-8,1.192887E+1
4.080000E-8,1.198703E+1
4.090000E-8,1.204570E+1
4.100000E-8,1.210484E+1
4.110000E-8,1.216442E+1
4.120000E-8,1.222441E+1
4.130000E-8,1.228478E+1
4.140000E-8,1.234549E+1
4.150000E-8,1.240651E+1
4.160000E-8,1.246780E+1
4.170000E-8,1.252934E+1
4.180000E-8,1.259110E+1
4.190000E-8,1.265304E+1
4.200000E-8,1.271513E+1
4.210000E-8,1.277734E+1
4.220000E-8,1.283964E+1
4.230000E-8,1.290199E+1
4.240000E-8,1.296438E+1
4.250000E-8,1.302676E+1
4.260000E-8,1.308910E+1
4.270000E-8,1.315139E+1
4.280000E-8,1.321358E+1
4.290000E-8,1.327566E+1
4.300000E-8,1.333759E+1
4.310000E-8,1.339934E+1
4.320000E-8,1.346088E+1
4.330000E-8,1.352220E+1
4.340000E-8,1.358326E+1
4.350000E-8,1.364404E+1
4.360000E-8,1.370450E+1
4.370000E-8,1.376464E+1
4.380000E-8,1.382441E+1
4.390000E-8,1.388380E+1
4.400000E-8,1.394278E+1
4.410000E-8,1.400133E+1
4.420000E-8,1.405943E+1
4.430000E-8,1.411705E+1
4.440000E-8,1.417417E+1
4.450000E-8,1.423077E+1
4.460000E-8,1.428683E+1
4.470000E-8,1.434233E+1
4.480000E-8,1.439725E+1
4.490000E-8,1.445157E+1
4.500000E-8,1.450527E+1
4.510000E-8,1.455833E+1
4.520000E-8,1.461073E+1
4.530000E-8,1.466246E+1
4.540000E-8,1.471349E+1
4.550000E-8,1.476382E+1
4.560000E-8,1.481342E+1
4.570000E-8,1.486228E+1
4.580000E-8,1.491038E+1
4.590000E-8,1.495771E+1
4.600000E-8,1.500425E+1
4.610000E-8,1.504999E+1
4.620000E-8,1.509492E+1
4.630000E-8,1.513901E+1
4.640000E-8,1.518226E+1
4.650000E-8,1.522465E+1
4.660000E-8,1.526618E+1
4.670000E-8,1.530682E+1
4.680000E-8,1.534658E+1
4.690000E-8,1.538543E+1
4.700000E-8,1.542336E+1
4.710000E-8,1.546038E+1
4.720000E-8,1.549645E+1
4.730000E-8,1.553158E+1
4.740000E-8,1.556576E+1
4.750000E-8,1.559898E+1
4.760000E-8,1.563122E+1
4.770000E-8,1.566249E+1
4.780000E-8,1.569276E+1
4.790000E-8,1.572205E+1
4.800000E-8,1.575032E+1
4.810000E-8,1.577759E+1
4.820000E-8,1.580385E+1
4.830000E-8,1.582908E+1
4.840000E-8,1.585329E+1
4.850000E-8,1.587646E+1
4.860000E-8,1.589859E+1
4.870000E-8,1.591967E+1
4.880000E-8,1.593971E+1
4.890000E-8,1.595869E+1
4.900000E-8,1.597661E+1
4.910000E-8,1.599347E+1
4.920000E-8,1.600925E+1
4.930000E-8,1.602397E+1
4.940000E-8,1.603760E+1
4.950000E-8,1.605016E+1
4.960000E-8,1.606163E+1
4.970000E-8,1.607201E+1
4.980000E-8,1.608130E+1
4.990000E-8,1.608950E+1
5.000000E-8,1.609660E+1
5.010000E-8,1.610261E+1
5.020000E-8,1.610752E+1
5.030000E-8,1.611133E+1
5.040000E-8,1.611404E+1
5.050000E-8,1.611565E+1
5.060000E-8,1.611617E+1
5.070000E-8,1.611558E+1
5.080000E-8,1.611389E+1
5.090000E-8,1.611111E+1
5.100000E-8,1.610724E+1
5.110000E-8,1.610228E+1
5.120000E-8,1.609623E+1
5.130000E-8,1.608909E+1
5.140000E-8,1.608088E+1
5.150000E-8,1.607160E+1
5.160000E-8,1.606125E+1
5.170000E-8,1.604984E+1
5.180000E-8,1.603737E+1
5.190000E-8,1.602387E+1
5.200000E-8,1.600932E+1
5.210000E-8,1.599375E+1
