Time,Ch2
0,-5.40087E-13
1E-10,-6.9514E-12
2E-10,-4.49448E-11
3E-10,-1.96922E-10
4E-10,-6.64648E-10
5E-10,-1.85855E-09
6E-10,-4.51093E-09
7E-10,-9.80842E-09
8E-10,-1.95372E-08
9E-10,-3.62335E-08
0.000000001,-6.33354E-08
1.1E-09,-1.05332E-07
1.2E-09,-1.67912E-07
1.3E-09,-2.58115E-07
1.4E-09,-3.84486E-07
1.5E-09,-5.5723E-07
1.6E-09,-7.88379E-07
1.7E-09,-1.09195E-06
1.8E-09,-1.4841E-06
1.9E-09,-1.98332E-06
0.000000002,-2.6106E-06
2.1E-09,-3.38955E-06
2.2E-09,-4.34658E-06
2.3E-09,-5.51101E-06
2.4E-09,-6.9152E-06
2.5E-09,-8.59466E-06
2.6E-09,-1.05882E-05
2.7E-09,-1.29378E-05
2.8E-09,-1.56892E-05
2.9E-09,-1.88915E-05
0.000000003,-2.25976E-05
3.1E-09,-2.68642E-05
3.2E-09,-3.17517E-05
3.3E-09,-3.73246E-05
3.4E-09,-4.36512E-05
3.5E-09,-5.08041E-05
3.6E-09,-5.88595E-05
3.7E-09,-6.78981E-05
3.8E-09,-7.80043E-05
3.9E-09,-8.92668E-05
0.000000004,-0.000101778
4.1E-09,-0.000115636
4.2E-09,-0.000130939
4.3E-09,-0.000147793
4.4E-09,-0.000166306
4.5E-09,-0.00018659
4.6E-09,-0.000208761
4.7E-09,-0.000232937
4.8E-09,-0.000259241
4.9E-09,-0.000287797
0.000000005,-0.000318736
5.1E-09,-0.000352188
5.2E-09,-0.000388287
5.3E-09,-0.000427171
5.4E-09,-0.000468978
5.5E-09,-0.00051385
5.6E-09,-0.000561931
5.7E-09,-0.000613367
5.8E-09,-0.000668307
5.9E-09,-0.0007269
0.000000006,-0.000789297
6.1E-09,-0.000855652
6.2E-09,-0.000926119
6.3E-09,-0.001000854
6.4E-09,-0.001080014
6.5E-09,-0.001163757
6.6E-09,-0.001252241
6.7E-09,-0.001345625
6.8E-09,-0.001444069
6.9E-09,-0.001547732
0.000000007,-0.001656773
7.1E-09,-0.001771352
7.2E-09,-0.001891628
7.3E-09,-0.002017758
7.4E-09,-0.002149901
7.5E-09,-0.002288214
7.6E-09,-0.002432852
7.7E-09,-0.00258397
7.8E-09,-0.002741722
7.9E-09,-0.002906259
0.000000008,-0.003077733
8.1E-09,-0.003256291
8.2E-09,-0.003442081
8.3E-09,-0.003635247
8.4E-09,-0.003835933
8.5E-09,-0.004044277
8.6E-09,-0.004260418
8.7E-09,-0.004484489
