Time,Ch2
0.000000E+0,-2.30295E-05
2.000000E-7,-0.000242272
4.000000E-7,-0.001256674
6.000000E-7,-0.004337081
8.000000E-7,-0.01128607
1.000000E-6,-0.02368256
1.200000E-6,-0.04176109
1.400000E-6,-0.06370257
1.600000E-6,-0.08598511
1.800000E-6,-0.1045669
2.000000E-6,-0.1160795
2.200000E-6,-0.1185523
2.400000E-6,-0.1117886
2.600000E-6,-0.09755919
2.800000E-6,-0.07942719
3.000000E-6,-0.06192831
3.200000E-6,-0.04928413
3.400000E-6,-0.04420274
3.600000E-6,-0.04708389
3.800000E-6,-0.05579341
4.000000E-6,-0.06647783
4.200000E-6,-0.07542836
4.400000E-6,-0.08075209
4.600000E-6,-0.08259775
4.800000E-6,-0.08219225
5.000000E-6,-0.08090266
5.200000E-6,-0.07999137
5.400000E-6,-0.0806127
5.600000E-6,-0.08322838
5.800000E-6,-0.08668312
6.000000E-6,-0.08839848
6.200000E-6,-0.08622968
6.400000E-6,-0.08029546
6.600000E-6,-0.07292462
6.800000E-6,-0.06699373
7.000000E-6,-0.06430445
7.200000E-6,-0.06507273
7.400000E-6,-0.06836044
7.600000E-6,-0.0726643
7.800000E-6,-0.07631132
8.000000E-6,-0.07792315
8.200000E-6,-0.07697279
8.400000E-6,-0.07397274
8.600000E-6,-0.07002474
8.800000E-6,-0.06605867
9.000000E-6,-0.06245378
9.200000E-6,-0.05941317
9.400000E-6,-0.05758847
9.600000E-6,-0.05808238
9.800000E-6,-0.06173041
1.000000E-5,-0.06842661
1.020000E-5,-0.07703863
1.040000E-5,-0.08584772
1.060000E-5,-0.09331644
1.080000E-5,-0.09877206
1.100000E-5,-0.1023699
1.120000E-5,-0.1043798
1.140000E-5,-0.1047094
1.160000E-5,-0.1031978
1.180000E-5,-0.1001105
1.200000E-5,-0.09610762
1.220000E-5,-0.09180276
1.240000E-5,-0.08746514
1.260000E-5,-0.08298301
1.280000E-5,-0.07786783
1.300000E-5,-0.0713969
1.320000E-5,-0.06317947
1.340000E-5,-0.0538093
1.360000E-5,-0.04486802
1.380000E-5,-0.03830977
1.400000E-5,-0.03585038
1.420000E-5,-0.03840594
1.440000E-5,-0.04538741
1.460000E-5,-0.05441588
1.480000E-5,-0.06213396
1.500000E-5,-0.06580852
1.520000E-5,-0.06468914
1.540000E-5,-0.06025746
1.560000E-5,-0.05527798
1.580000E-5,-0.05234294
1.600000E-5,-0.05278175
1.620000E-5,-0.05637713
1.640000E-5,-0.06179495
1.660000E-5,-0.06734042
1.680000E-5,-0.07164145
1.700000E-5,-0.07402135
1.720000E-5,-0.07454516
1.740000E-5,-0.07392407
1.760000E-5,-0.07347869
1.780000E-5,-0.07507045
1.800000E-5,-0.08057729
1.820000E-5,-0.09073146
1.840000E-5,-0.1040738
1.860000E-5,-0.117202
1.880000E-5,-0.1264087
1.900000E-5,-0.1294654
1.920000E-5,-0.1263224
1.940000E-5,-0.1185566
1.960000E-5,-0.1082541
1.980000E-5,-0.09703216
2.000000E-5,-0.08559134
2.020000E-5,-0.07402737
2.040000E-5,-0.06263326
