Time,Ch A
0.000000E+0,6.781060E-8
5.000000E-10,8.474747E-7
1.000000E-9,5.295705E-6
1.500000E-9,2.232126E-5
2.000000E-9,7.219574E-5
2.500000E-9,1.928917E-4
3.000000E-9,4.463466E-4
3.500000E-9,9.237906E-4
4.000000E-9,1.749543E-3
4.500000E-9,3.082776E-3
5.000000E-9,5.116510E-3
5.500000E-9,8.073312E-3
6.000000E-9,1.219804E-2
6.500000E-9,1.774854E-2
7.000000E-9,2.498495E-2
7.500000E-9,3.415864E-2
8.000000E-9,4.550139E-2
8.500000E-9,5.921594E-2
9.000000E-9,7.546786E-2
9.500000E-9,9.437975E-2
1.000000E-8,1.160279E-1
1.050000E-8,1.404412E-1
1.100000E-8,1.676011E-1
1.150000E-8,1.974417E-1
1.200000E-8,2.298512E-1
1.250000E-8,2.646741E-1
1.300000E-8,3.017164E-1
1.350000E-8,3.407516E-1
1.400000E-8,3.815271E-1
1.450000E-8,4.237713E-1
1.500000E-8,4.671999E-1
1.550000E-8,5.115222E-1
1.600000E-8,5.564472E-1
1.650000E-8,6.016894E-1
1.700000E-8,6.469731E-1
1.750000E-8,6.920375E-1
1.800000E-8,7.366395E-1
1.850000E-8,7.805569E-1
1.900000E-8,8.235896E-1
1.950000E-8,8.655593E-1
2.000000E-8,9.063079E-1
2.050000E-8,9.456966E-1
2.100000E-8,9.836054E-1
2.150000E-8,1.019933E+0
2.200000E-8,1.054600E+0
2.250000E-8,1.087544E+0
2.300000E-8,1.118725E+0
2.350000E-8,1.148120E+0
2.400000E-8,1.175720E+0
2.450000E-8,1.201533E+0
2.500000E-8,1.225579E+0
2.550000E-8,1.247888E+0
2.600000E-8,1.268496E+0
2.650000E-8,1.287443E+0
2.700000E-8,1.304773E+0
2.750000E-8,1.320526E+0
2.800000E-8,1.334745E+0
2.850000E-8,1.347471E+0
2.900000E-8,1.358744E+0
2.950000E-8,1.368609E+0
3.000000E-8,1.377115E+0
3.050000E-8,1.384316E+0
3.100000E-8,1.390272E+0
3.150000E-8,1.395047E+0
3.200000E-8,1.398714E+0
3.250000E-8,1.401348E+0
3.300000E-8,1.403025E+0
3.350000E-8,1.403821E+0
3.400000E-8,1.403810E+0
3.450000E-8,1.403058E+0
3.500000E-8,1.401628E+0
3.550000E-8,1.399579E+0
3.600000E-8,1.396970E+0
3.650000E-8,1.393862E+0
3.700000E-8,1.390326E+0
3.750000E-8,1.386438E+0
3.800000E-8,1.382287E+0
3.850000E-8,1.377967E+0
3.900000E-8,1.373577E+0
3.950000E-8,1.369215E+0
4.000000E-8,1.364978E+0
4.050000E-8,1.360953E+0
4.100000E-8,1.357216E+0
4.150000E-8,1.353827E+0
4.200000E-8,1.350829E+0
4.250000E-8,1.348244E+0
4.300000E-8,1.346072E+0
4.350000E-8,1.344295E+0
4.400000E-8,1.342876E+0
4.450000E-8,1.341761E+0
4.500000E-8,1.340887E+0
4.550000E-8,1.340181E+0
4.600000E-8,1.339572E+0
4.650000E-8,1.338990E+0
4.700000E-8,1.338377E+0
4.750000E-8,1.337682E+0
4.800000E-8,1.336866E+0
4.850000E-8,1.335899E+0
4.900000E-8,1.334759E+0
4.950000E-8,1.333430E+0
5.000000E-8,1.331899E+0
5.050000E-8,1.330154E+0
5.100000E-8,1.328189E+0
5.150000E-8,1.325998E+0
5.200000E-8,1.323589E+0
5.250000E-8,1.320976E+0
5.300000E-8,1.318190E+0
5.350000E-8,1.315273E+0
5.400000E-8,1.312284E+0
5.450000E-8,1.309291E+0
5.500000E-8,1.306373E+0
5.550000E-8,1.303619E+0
5.600000E-8,1.301121E+0
5.650000E-8,1.298978E+0
5.700000E-8,1.297290E+0
5.750000E-8,1.296160E+0
5.800000E-8,1.295691E+0
5.850000E-8,1.295984E+0
5.900000E-8,1.297140E+0
5.950000E-8,1.299254E+0
6.000000E-8,1.302413E+0
6.050000E-8,1.306695E+0
6.100000E-8,1.312157E+0
6.150000E-8,1.318843E+0
6.200000E-8,1.326769E+0
6.250000E-8,1.335932E+0
6.300000E-8,1.346297E+0
6.350000E-8,1.357801E+0
6.400000E-8,1.370353E+0
6.450000E-8,1.383832E+0
6.500000E-8,1.398094E+0
6.550000E-8,1.412973E+0
6.600000E-8,1.428290E+0
6.650000E-8,1.443850E+0
6.700000E-8,1.459453E+0
6.750000E-8,1.474890E+0
6.800000E-8,1.489954E+0
6.850000E-8,1.504439E+0
6.900000E-8,1.518143E+0
6.950000E-8,1.530871E+0
7.000000E-8,1.542432E+0
7.050000E-8,1.552646E+0
7.100000E-8,1.561340E+0
7.150000E-8,1.568349E+0
7.200000E-8,1.573525E+0
7.250000E-8,1.576736E+0
7.300000E-8,1.577871E+0
7.350000E-8,1.576852E+0
7.400000E-8,1.573631E+0
7.450000E-8,1.568201E+0
7.500000E-8,1.560593E+0
7.550000E-8,1.550875E+0
7.600000E-8,1.539147E+0
7.650000E-8,1.525535E+0
7.700000E-8,1.510190E+0
7.750000E-8,1.493276E+0
7.800000E-8,1.474972E+0
7.850000E-8,1.455467E+0
7.900000E-8,1.434956E+0
7.950000E-8,1.413638E+0
8.000000E-8,1.391712E+0
8.050000E-8,1.369379E+0
8.100000E-8,1.346836E+0
8.150000E-8,1.324280E+0
8.200000E-8,1.301906E+0
8.250000E-8,1.279913E+0
8.300000E-8,1.258497E+0
8.350000E-8,1.237854E+0
8.400000E-8,1.218174E+0
8.450000E-8,1.199640E+0
8.500000E-8,1.182423E+0
8.550000E-8,1.166674E+0
8.600000E-8,1.152527E+0
8.650000E-8,1.140088E+0
8.700000E-8,1.129437E+0
8.750000E-8,1.120620E+0
8.800000E-8,1.113649E+0
8.850000E-8,1.108504E+0
8.900000E-8,1.105129E+0
8.950000E-8,1.103436E+0
9.000000E-8,1.103310E+0
9.050000E-8,1.104613E+0
9.100000E-8,1.107190E+0
9.150000E-8,1.110873E+0
9.200000E-8,1.115486E+0
9.250000E-8,1.120851E+0
9.300000E-8,1.126793E+0
9.350000E-8,1.133144E+0
9.400000E-8,1.139748E+0
9.450000E-8,1.146463E+0
9.500000E-8,1.153164E+0
9.550000E-8,1.159747E+0
9.600000E-8,1.166127E+0
9.650000E-8,1.172238E+0
9.700000E-8,1.178033E+0
9.750000E-8,1.183479E+0
9.800000E-8,1.188555E+0
9.850000E-8,1.193245E+0
9.900000E-8,1.197536E+0
9.950000E-8,1.201415E+0
1.000000E-7,1.204866E+0
1.005000E-7,1.207866E+0
1.010000E-7,1.210394E+0
1.015000E-7,1.212426E+0
1.020000E-7,1.213941E+0
1.025000E-7,1.214927E+0
1.030000E-7,1.215376E+0
1.035000E-7,1.215291E+0
